epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,741.207,1.43146,0.8568,1.04364,0.90621,0.80523,0.90121,0.44934,1.67987,0.95399,1.29397,0.000462281,0.000462281,0.000462281
43,764.801,1.42171,0.87886,1.05538,0.88428,0.81667,0.89274,0.45577,1.68247,0.96077,1.32211,0.000438703,0.000438703,0.000438703
44,789.067,1.41452,0.82826,1.05208,0.86542,0.775,0.87219,0.45804,1.68054,0.97266,1.27488,0.000415124,0.000415124,0.000415124
45,810.842,1.35383,0.79608,1.02606,0.87463,0.79167,0.8883,0.45215,1.6618,0.90681,1.27174,0.000391546,0.000391546,0.000391546
46,828.69,1.38172,0.78824,1.0332,0.84543,0.82044,0.88941,0.47497,1.68428,0.89958,1.28828,0.000367967,0.000367967,0.000367967
47,846.053,1.37433,0.79621,1.02933,0.85324,0.82365,0.8817,0.45481,1.73391,0.94866,1.306,0.000344389,0.000344389,0.000344389
48,863.865,1.3733,0.78547,1.02821,0.81728,0.81667,0.87373,0.46342,1.69131,0.92241,1.30352,0.00032081,0.00032081,0.00032081
49,881.59,1.33859,0.78234,1.01544,0.82564,0.8287,0.87589,0.44106,1.69907,0.93622,1.29952,0.000297232,0.000297232,0.000297232
50,898.944,1.36453,0.78698,1.01755,0.84526,0.825,0.89487,0.46451,1.6772,0.93851,1.2994,0.000273654,0.000273654,0.000273654
51,918.795,1.3245,0.77939,1.06184,0.84078,0.88011,0.89864,0.46133,1.67274,0.86888,1.29151,0.000250075,0.000250075,0.000250075
52,935.53,1.31028,0.73686,1.03281,0.9022,0.84562,0.90481,0.46137,1.66637,0.89569,1.28728,0.000226497,0.000226497,0.000226497
53,952.053,1.27305,0.71004,1.02768,0.90924,0.84167,0.908,0.46938,1.67978,0.88098,1.30666,0.000202918,0.000202918,0.000202918
54,969.628,1.25087,0.70519,1.02575,0.90085,0.825,0.8998,0.444,1.68604,0.89246,1.29707,0.00017934,0.00017934,0.00017934
55,986.087,1.22856,0.70856,1.01529,0.88256,0.81416,0.89595,0.45198,1.65258,0.92531,1.27392,0.000155761,0.000155761,0.000155761
56,1002.49,1.23478,0.68521,1.00749,0.87571,0.825,0.89446,0.45881,1.68338,0.90072,1.27496,0.000132183,0.000132183,0.000132183
57,1019.14,1.20627,0.68199,0.99619,0.85281,0.81667,0.89944,0.45598,1.66171,0.87366,1.28648,0.000108604,0.000108604,0.000108604
58,1035.97,1.20774,0.68557,1.00908,0.86861,0.84167,0.89904,0.45434,1.70306,0.87545,1.30672,8.50255e-05,8.50255e-05,8.50255e-05
59,1052.17,1.17205,0.66755,0.98681,0.85099,0.80833,0.88131,0.45377,1.73092,0.88666,1.31462,6.1447e-05,6.1447e-05,6.1447e-05
60,1068.03,1.21616,0.68269,1.00679,0.85844,0.84167,0.89061,0.45094,1.72493,0.87111,1.30946,3.78685e-05,3.78685e-05,3.78685e-05
