epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,397.14,1.30833,0.69367,1.08896,0.8049,0.7,0.74764,0.35112,2.07154,1.27316,1.66685,0.000581,0.000581,0.000581
45,406.43,1.23934,0.71576,1.10924,0.84569,0.7,0.75313,0.37122,2.04052,1.17973,1.63957,0.000548,0.000548,0.000548
46,415.22,1.19666,0.67373,1.06743,0.93524,0.6,0.76417,0.39239,1.86161,1.14757,1.47937,0.000515,0.000515,0.000515
47,424.292,1.17478,0.67305,1.07501,0.97648,0.6,0.76007,0.36775,1.93996,1.14666,1.57854,0.000482,0.000482,0.000482
48,434.8,1.1685,0.66134,1.08611,0.93221,0.63333,0.7782,0.40986,1.89214,1.24646,1.49472,0.000449,0.000449,0.000449
49,443.282,1.14704,0.63453,1.04886,0.92998,0.63333,0.78596,0.39594,1.90893,1.22739,1.4761,0.000416,0.000416,0.000416
50,453.136,1.12204,0.65625,1.07101,0.94941,0.62589,0.74819,0.43228,1.76085,1.17065,1.40192,0.000383,0.000383,0.000383
51,474.878,1.15698,0.66948,1.13183,0.83015,0.66667,0.74634,0.43348,1.69388,1.12665,1.38089,0.00035,0.00035,0.00035
52,486.364,1.11426,0.63266,1.05764,0.86952,0.66641,0.75303,0.40784,1.73318,1.09749,1.40129,0.000317,0.000317,0.000317
53,494.079,1.07143,0.64292,1.03732,0.78146,0.71548,0.74895,0.39832,1.75831,1.20175,1.44172,0.000284,0.000284,0.000284
54,502.297,1.06352,0.63243,1.02797,0.76956,0.66795,0.66822,0.38284,1.78632,1.24184,1.45035,0.000251,0.000251,0.000251
55,511.421,1.03526,0.59838,1.05292,0.75904,0.7,0.74453,0.40528,1.85115,1.19814,1.49902,0.000218,0.000218,0.000218
56,519.064,1.04743,0.61993,1.02437,0.71819,0.73333,0.75848,0.38749,1.87066,1.17951,1.50876,0.000185,0.000185,0.000185
57,528.184,1.01939,0.57559,1.02029,0.78119,0.73333,0.7633,0.39145,1.88314,1.16033,1.50135,0.000152,0.000152,0.000152
58,537.946,1.01685,0.58435,1.01608,0.72,0.73333,0.76819,0.38206,1.87906,1.16764,1.49295,0.000119,0.000119,0.000119
59,547.269,1.02639,0.57518,1.00304,0.94639,0.58889,0.77568,0.37741,1.89417,1.22687,1.49609,8.6e-05,8.6e-05,8.6e-05
60,555.715,0.96648,0.55405,0.99359,0.80771,0.6,0.74091,0.37943,1.89537,1.24842,1.50456,5.3e-05,5.3e-05,5.3e-05
